3285,OPEN,Change `subprocess.check_output` option for bytes/string mismatch,,2024-04-09T03:44:33Z
3284,OPEN,`JobTask.dump` raises `TypeError` when replacing bytes to string,,2024-04-09T03:43:26Z
3283,CLOSED,Questions about Copilot + Open Source Software Hierarchy,,2024-05-06T14:59:04Z
3280,OPEN,TypeError: <Target> object is not iterable when check_complete(dep) is False,,2024-03-05T10:30:58Z
3278,OPEN,sqla.SQLAlchemyTarget.exist() won't work with SqlAlchemy 2.x version,,2024-02-16T10:48:09Z
3273,CLOSED,Faulty DONE status assignment,,2024-01-14T11:27:37Z
3264,OPEN,Only one worker process being created despite of passing workers as 3 and having simultaneous tasks to perform,,2023-11-28T13:15:23Z
3263,OPEN,Facing test failures for test/servertest.py on PPC64LE,,2023-11-17T06:22:52Z
3262,CLOSED,`h5py` compatibility with `S3Target` ?,,2023-12-20T19:14:26Z
3255,CLOSED,dynamic requirements: what's wrong with what I am doing?,,2023-10-04T10:34:44Z
3253,OPEN,Too wide permissions for /tmp/luigi,,2023-09-25T14:51:07Z
3251,OPEN,signal only works in main thread of the main interpreter,,2023-08-30T06:05:50Z
3249,OPEN,SVG visualisation breaks on dependencies between tasks with the same name,,2023-08-26T02:18:28Z
3247,OPEN,"Object of type ... is not JSON serializable" when ListParameters of Task instances,,2023-08-10T09:53:37Z
3245,OPEN,See task workflow for indefinite time,,2023-07-26T16:41:26Z
3243,OPEN,int values to FloatParameter crashes worker,,2023-06-25T11:30:43Z
3242,OPEN,UnconsumedParameterWarning: 'no_configure_logging',,2023-06-14T13:59:45Z
3241,OPEN,task collection scheme seems to invalidate `batch_method=sum`,,2023-05-16T21:04:27Z
3240,CLOSED,specify resources in luigi.build,,2023-09-08T08:48:37Z
3236,CLOSED,Command line parameters not being passed to workers in macOS,,2023-08-23T16:20:30Z
3233,OPEN,Race Condition possibility,,2023-03-27T12:25:38Z
3229,OPEN,The 'defaults' parameter in python logging configure does not support in luigi.,,2023-03-12T12:20:50Z
3227,OPEN,SQLAlchemy 2.0 not supported when task history enabled,,2023-03-24T14:58:16Z
3226,OPEN,Bug: parameter doesn't preserve default None value after yield,,2023-02-10T12:24:14Z
3224,OPEN,Add support for custom authentication headers,,2023-02-05T17:06:57Z
3223,OPEN,Documentation on readthedocs.io needs to be updated,,2023-02-03T16:24:21Z
3222,OPEN,Support for PEP 517/518 (pyproject.toml build-system),,2023-01-30T18:07:46Z
3219,OPEN,"ValueError: signal only works in main thread" with external_program.py,,2023-01-16T12:56:30Z
3213,CLOSED,using default_scheduler_url as a mounting point (not root `http://address/mount`) behind proxy not working,,2023-02-23T12:49:51Z
3212,OPEN,Add support/option to pick `TaskProcess` worker process context,,2022-12-14T05:02:47Z
3210,OPEN,Fails to parse list parameter from cli argument: JSONDecodeError,,2022-11-28T20:14:37Z
3208,OPEN,Failed to return in running luigi.build in luigi tasks,,2022-11-15T22:50:07Z
3206,OPEN,Arguments for the command to rerun renders as [object Object],,2022-11-08T21:19:30Z
