2861,OPEN,wrong python path is used when running python script with named conda environment,bug,2024-05-03T07:12:25Z
2848,OPEN,document ChildIOException,enhancement,2024-04-26T07:11:56Z
2846,CLOSED,`snakemake.io._IOFile.open` method doesn't use it's keyword arguments,bug,2024-04-29T12:47:05Z
2844,OPEN,`keep_local` does not keep remote files locally,bug,2024-04-29T14:40:30Z
2841,OPEN,ModuleNotFoundError: No module named 'asyncore',bug,2024-05-06T10:25:37Z
2838,OPEN,incompatibility with using `rules.rulename.output` and importing snakefile as a module, using `use rule a from somemodule as a with...`,bug,2024-04-25T10:36:28Z
2837,OPEN,Bind current working directory to container,enhancement,2024-04-23T11:03:45Z
2836,OPEN,Error when using wrappers and `use rule as`,bug,2024-04-23T06:15:06Z
2835,OPEN,question: SFTP options,,2024-04-23T06:22:40Z
2834,OPEN,carbon footprint in report,enhancement,2024-05-02T20:48:29Z
2832,OPEN,Incorrect shell command executed when defined within a loop.,bug,2024-04-24T20:23:29Z
2828,OPEN,--cluster-config BsubInvocation Error,bug,2024-05-03T12:14:12Z
2826,OPEN,`--show-failed-logs` if binary file used as `log` file,bug,2024-04-19T21:13:20Z
2825,CLOSED,--dry-run --quiet fails on 8,bug,2024-04-28T18:55:34Z
2824,OPEN,--until not working with checkpoints,bug,2024-04-29T14:33:16Z
2822,OPEN,Incomplete DAG with checkpoints,bug,2024-04-22T16:06:08Z
2821,OPEN,Make --cores a forbidden parameter if an executor is used.,enhancement,2024-04-18T08:47:24Z
2820,OPEN,Add possibility to provide empty default resources in a profile (as was possible with SnakeMake 7.x.x),enhancement,2024-04-18T07:35:57Z
2819,OPEN,Using option --drmaa_logs crashes snakemake,bug,2024-04-18T05:44:02Z
2818,CLOSED,Key Error: workflow/rules/common.smk, line 25: 'resource_config',bug,2024-04-17T19:58:56Z
2816,OPEN,Services setup and teardown procedures with specific scripts and warmup time,enhancement,2024-04-16T16:06:18Z
2813,CLOSED,Missing All Flags section in Snakemake docs in at least several 8.x versions,bug,2024-04-19T06:46:19Z
2812,CLOSED,CreateRuleException: The name xxxxx is already used by another rule,bug,2024-04-16T14:32:42Z
2808,OPEN,Snakemake 8.9.0 on a singularity slurm cluster combination error,,2024-04-27T18:43:12Z
2807,OPEN,software deployment conda confusion,bug,2024-04-12T14:56:28Z
2804,OPEN,Split a report using Snakefile,enhancement,2024-04-11T18:16:08Z
2802,CLOSED,"module command not found" using Snakemake with Slurm,bug,2024-05-03T12:09:28Z
2801,CLOSED,SpawnedJobsArgFactory should allow executor more control over CLI options,enhancement,2024-04-10T20:36:08Z
2798,OPEN,Shell comand within if-else statement do not print when use "--print-compilation" arguemnt,bug,2024-04-08T20:33:13Z
2797,OPEN,Duplicate Calls to log_handler in log-handler-script,bug,2024-04-13T22:00:32Z
2792,OPEN,Working example for new version 8 API,,2024-04-03T12:29:30Z
2791,OPEN,snakemake function import error,,2024-04-03T08:18:46Z
2789,OPEN,Alternative Solutions for Running Snakemake on Slurm without Configuring MySQL Database,bug,2024-05-03T12:24:49Z
2788,OPEN,CreateCondaEnvironmentException with Mamba when creating a Conda environment from a Snakemake workflow,bug,2024-04-01T10:30:21Z
2787,OPEN,Can only use unpack() on list and dict,,,2024-04-01T21:13:43Z
2786,OPEN,The Workflow class cannot be imported due to a circular import,bug,2024-03-27T21:40:09Z
2783,CLOSED,Use profile to send jobs on different partition (slurm cluster),enhancement,2024-05-06T14:03:41Z
2782,OPEN,Top of report.html pages not viewable when page is longer than screen,bug,2024-03-26T23:58:23Z
2779,CLOSED,Improving modularisation by allowing inputs from the main workflow into subworkflows,enhancement,2024-03-28T16:36:29Z
2774,OPEN,`mem_mb` and `mem_mib` do not match `mem` when `mem` is specified with unit.,bug,2024-03-22T18:39:23Z
2773,OPEN,rule all or default_target directive not working for included rule files,bug,2024-03-22T18:24:28Z
2771,OPEN,Logo under images/ is out of date,question,2024-03-21T12:32:40Z
2769,OPEN,Ability to configure workflow using TOML in addition to currently supported YAML and JSON,enhancement,2024-03-21T08:44:06Z
2768,OPEN,Remote storage input removed,bug,2024-03-19T20:46:21Z
2767,OPEN,snakemake: error: argument --executor/-e: invalid choice:,enhancement,2024-04-02T18:51:46Z
2766,OPEN,Add missing quotes around configfile in unit test template,,2024-03-19T14:50:21Z
2765,CLOSED,Moving workflow to version 8 gives `IndentationError´ on Windows.,bug,2024-04-23T20:13:05Z
2763,OPEN,Trace back fails due to spelling mistake in exceptions.py,bug,2024-03-17T17:22:39Z
2762,OPEN,When checkpoints are nested, the second checkpoint does not seem to run the rule,bug,2024-04-09T23:10:11Z
2758,OPEN,AmbiguousRuleException:,enhancement,2024-03-15T15:15:47Z
2757,CLOSED,Errors to stdout or to stderr?,bug,2024-03-15T15:43:37Z
2756,OPEN,Windows path too long: Failed to set marker file for job started,bug,2024-04-23T14:00:06Z
2755,OPEN,Using wildcards or params in the wrapper identifier,bug,2024-03-14T09:01:14Z
2753,OPEN,Passing arguments to Jupyter notebooks differs between directly passed and function-generated arguments,bug,2024-03-12T21:55:13Z
2750,OPEN,Wildcards in script specifier not parsed when checking whether the output is older,bug,2024-03-12T13:39:24Z
2748,CLOSED,Snakemake should ignore conda's default pacakges,enhancement,2024-03-26T21:21:42Z
2744,OPEN,Self referencing job consumes all memory and crashes (oom),bug,2024-03-10T15:19:19Z
2742,OPEN,Bring --draft-notebook to basic python scripts,enhancement,2024-03-09T15:15:28Z
2739,CLOSED,snakemake waiting for files much longer than latency-wait (slurm, NFS),bug,2024-03-14T09:04:54Z
2734,OPEN,Ignore missing variable `snakemake` in common IDEs and LSP,enhancement,2024-03-07T08:02:17Z
2732,CLOSED,Temp files get deleted before time,bug,2024-03-07T16:16:28Z
2731,CLOSED,Snakemake storage plugin: gcs: WorkflowError,bug,2024-03-07T16:23:00Z
2729,OPEN,Overwriting module rules leads to unexpected behavior,bug,2024-04-25T09:33:07Z
2728,CLOSED,OSError: [Errno 39] Directory not empty: 'envs',bug, awaiting-test-with-latest-release,2024-05-03T09:53:53Z
2727,OPEN,info messages logged as warnings,enhancement,2024-03-07T16:15:59Z
2726,OPEN,Is it possible to use local input files when running on kubernetes?,enhancement,2024-02-27T16:36:46Z
2725,OPEN,improved --quiet granularity,enhancement,2024-02-27T16:15:34Z
2724,OPEN,AttributeError: 'str' object has no attribute 'get',,2024-03-01T21:50:05Z
2723,CLOSED,`mtime` comparison between remote and local storage incompatible,bug,2024-03-11T13:53:48Z
2709,OPEN,Snakemake print path to logs or stderr with onerror,enhancement,2024-02-19T20:45:10Z
2704,OPEN,"--generate-unit-tests" feature do not copy index files for genomes vcf, etc.,enhancement,2024-02-22T18:43:16Z
2703,OPEN,pass function to rule-specific `wildcard_constraints`,enhancement,2024-02-17T22:10:42Z
2701,CLOSED,Snakemake 8 not usable with Slurm clusters offering GPUs,bug,2024-03-18T11:17:16Z
2698,CLOSED,Update docs,bug,2024-02-24T09:27:31Z
2697,OPEN,State location of ruleorder definition in UnknownRuleException,enhancement,2024-02-14T15:22:54Z
2696,CLOSED,'runtime' not correctly parsed with --workflow-profile,bug,2024-02-26T14:09:58Z
2693,OPEN,Containerization fails when workflow has global Conda directive,bug,2024-02-20T06:31:37Z
2688,OPEN,FileNotFoundError when attempting to inject global conda env from remote module,bug,2024-02-09T11:36:46Z
2686,CLOSED,command not found in `.post-deploy.sh`,bug,2024-02-09T01:44:04Z
2685,CLOSED,Using `collect()` and `lookup()` raises `AttributeError` if and only if lookup returns only one element,bug,2024-02-09T16:30:14Z
2684,OPEN,write_source_archive issue on windows when using a remote executor,bug,2024-02-08T00:23:45Z
2682,OPEN,Not clear how to set non-standard cluster resource settings with Profiles,,2024-02-07T15:34:54Z
2678,CLOSED,snakemake cannot run multithreading scripts,help wanted,2024-02-26T14:08:27Z
2672,CLOSED,Cluster Configuration Rule Missing,bug,2024-03-07T16:22:08Z
2669,CLOSED,script directive: explicit error message when file is not found,enhancement,2024-02-03T14:18:57Z
2668,OPEN,calling checkpoints in input function causes upstream checkpoints in same function to be ignored,bug,2024-02-01T23:29:26Z
2667,OPEN,The information of 'min threads' and 'max threads' do not shown in the Job stats panel.,bug,2024-01-31T16:35:02Z
2666,CLOSED,re-run a snakemake pipeline from a given rule omitting upstream dependencies,enhancement,2024-02-02T10:39:22Z
2664,OPEN,An option to limit cluster submission by total threads,enhancement,2024-02-28T12:00:41Z
2663,OPEN,SNAKEMAKE_PROFILE not being passed to job env prevents Snakemake workflows from executing other Snakemake workflows,bug,2024-01-30T18:07:58Z
2662,OPEN,Python API of Snakemake 8,,2024-01-30T16:16:15Z
2661,OPEN,Loop in snakemake,enhancement,2024-01-31T10:06:12Z
2657,OPEN,parsing fstring with if else on params,bug,2024-04-25T09:25:36Z
2656,CLOSED,--rulegraph yields no output except "Building DAG of jobs..." while --dag works successfully,bug,2024-02-05T09:00:11Z
2655,OPEN,Using Snakemake in GCP VM,enhancement,2024-01-30T14:35:21Z
2648,CLOSED,Python 3.12 f-strings still introduce unwanted whitespace in Snakemake 8,bug,2024-01-29T08:12:11Z
2645,OPEN,Script execution fails if path to Python executable contains whitespace,bug,2024-03-17T12:07:27Z
2644,OPEN,A tree_expand function that constrains format string combinations to stem-to-leaf YAML paths,enhancement,2024-01-23T18:28:18Z
2643,CLOSED,--batch cli argument error,bug,2024-01-25T21:12:12Z
2637,OPEN,AttributeError: 'NoneType' object has no attribute 'ignore_incomplete' during conda_create_envs,bug,2024-02-04T11:34:58Z
2635,CLOSED,Installing snakemake-storage-plugin-azure results in unworkable snakemake,bug,2024-03-06T17:27:04Z
2633,OPEN,Detecting kill signal by server when running on HPC,enhancement,2024-03-07T15:58:25Z
2632,OPEN,Doesn't snakemake leaking the outer environment into the container hamper with reproducibility?,,2024-01-18T20:11:45Z
2631,CLOSED,Slurm constraint not working,bug,2024-03-26T17:14:44Z
2626,OPEN,confusing rerun behavior,bug,2024-03-04T07:24:16Z
2624,OPEN,wall of text when activating conda environment via conda directive,bug,2024-02-09T20:39:13Z
2623,OPEN,Not ending with semicolon in script subprocess.run creates race condition,bug,2024-01-16T18:02:38Z
2621,OPEN,Docs Github icon should link to snakemake Github rather than the Sphinx theme's github,enhancement,2024-01-17T18:24:31Z
2619,OPEN,ValueError: a coroutine was expected, got <async_generator object DAG.summary at 0x7f63aa615b40>,bug,2024-03-08T09:44:39Z
2615,CLOSED,unrecognized arguments: --cluster,bug,2024-01-22T22:22:58Z
2614,OPEN,Snakemake Stacking Conda Environments Leading to Unexpected Errors,bug,2024-01-14T03:55:18Z
2609,OPEN,Resources specification in profiles is inconsistent with CLI and unclear overall,enhancement,2024-03-15T14:13:22Z
2608,OPEN,Download dependencies when running CI jobs,bug,2024-04-12T11:07:23Z
2607,CLOSED,AttributeError: module 'pulp' has no attribute 'list_solvers',bug,2024-04-12T11:05:42Z
2606,CLOSED,Snakemake conda recipe broken due to a pulp dependency update,bug,2024-01-13T13:15:29Z
2604,CLOSED,ReadTheDocs: All Options subheader display error,bug,2024-02-22T13:30:20Z
2602,OPEN,Containerized workflow not able to access programs in container,bug,2024-05-02T21:17:24Z
2601,OPEN,schema validation doesn't work for arrays in tabular configuration files,bug,2024-01-10T22:41:04Z
2598,CLOSED,ImportError from snakemake.executors.flux (no 'sleep' in snakemake_interface_executor_plugins.utils),bug,2024-01-11T15:36:55Z
2596,CLOSED,`snakemake.workflow` circular import error,bug,2024-01-16T13:56:48Z
2595,OPEN,Depth first execution.,enhancement,2024-01-12T15:08:34Z
2593,OPEN,XRootD Storage Plugin,enhancement,2024-01-08T17:26:32Z
2590,OPEN,Requirements for python version for interfaces / plugins too strict,,2024-01-10T21:03:09Z
2589,OPEN,Automatically double the initial allocated memory amount for a rule for each retry attempt,enhancement,2024-04-23T14:04:55Z
2587,OPEN,Error from `min_version` should be prioritized,enhancement,2024-02-15T13:37:43Z
2586,CLOSED,f-strings no longer accepted in shell commands,bug,2024-01-08T08:18:08Z
2585,OPEN,Wildcards keyword retention request,enhancement,2024-01-05T15:25:30Z
2582,OPEN,Latest docker image does not include conda/mamba,bug,2024-01-05T11:09:39Z
2581,CLOSED,In the snakemake rule, the path to load the conda file is incorrect！,bug,2024-01-06T05:24:10Z
2580,OPEN,Suggestion for alternative "key='value'" envvars syntax,enhancement,2024-01-05T07:34:12Z
2579,CLOSED,Failure to evaluate default resources,bug,2024-01-05T19:46:04Z
2578,OPEN,Adressing rules that have been named via the `name` attribute,,2024-01-10T14:19:28Z
2577,CLOSED,Snakemake 8.01 --rulegraph error,bug,2024-01-29T20:57:12Z
2576,OPEN,Decentralized Caching via IPFS or Torrent,enhancement,2024-01-05T15:23:29Z
2575,CLOSED,Dry run doesn't work with input-based resource allocation,bug,2024-02-15T10:15:42Z
2574,OPEN,Wrong error line numbers reported in version 8.0.1,bug,2024-04-08T14:48:28Z
2572,OPEN,[BUG] Snakemake fails to detect the correct path of config.yaml file when `executor` plugin is used.,bug,2024-01-03T09:30:51Z
2571,CLOSED,IsADirectoryError on .snakemake/metadata in persistence.py: _read_record_uncached method (line564),bug,2024-01-04T14:41:35Z
2570,OPEN,Link from preivous repo broken,bug,2024-01-02T13:34:05Z
2569,CLOSED,Version 8.0 no longer support python 3.10?,bug,2024-05-03T12:26:36Z
2568,OPEN,404 error for snakemake azure tutorial,bug,2024-01-18T02:13:51Z
2567,OPEN,Unable to parse tmpdir in default-resources,bug,2023-12-29T04:47:27Z
2566,CLOSED,Error when visualizing the workflow dag,bug,2024-01-29T17:30:46Z
2565,OPEN,v8 traceback line numbers incorrect,bug,2024-01-06T09:48:04Z
2564,OPEN,snakemake command line cannot run after installing storage plugin,bug,2024-01-08T19:20:14Z
2563,OPEN,Using a parent directory of an output of one rule as the input to another rule,,2023-12-27T04:51:07Z
2562,OPEN,Allow for multiple executors for one Snakefile,enhancement,2024-02-22T22:01:53Z
2560,OPEN,lambda functions for priority,enhancement,2023-12-24T04:26:16Z
2559,CLOSED,Clarify `mem_mb` and `disk_mb`,enhancement,2024-02-22T23:25:00Z
2558,OPEN,Docs: incorrect or maybe incomplete profile link,enhancement,2023-12-23T17:01:04Z
2557,OPEN,Missing :All Options" content in docs,bug,2024-04-17T09:52:15Z
2556,CLOSED,`--conda-create-envs-only` causes an `AttributeError`,bug,2024-01-29T08:11:09Z
2555,CLOSED,input-dependent resource specification fails,bug,2024-02-15T10:15:43Z
